sep=;
N;R;Theta;Z;|U|
274;25.0000;-15.0000;0.0000;3.078027328e-04
275;25.0000;-10.0000;0.0000;7.559945075e-04
276;25.0000;-5.0000;0.0000;2.775487633e-04
277;25.0000;0.0000;0.0000;3.319367282e-04
278;25.0000;5.0000;0.0000;7.601444399e-04
279;25.0000;10.0000;0.0000;2.073666831e-04
280;25.0000;15.0000;0.0000;3.088431940e-04
281;25.0000;20.0000;0.0000;6.449023328e-04
282;25.0000;25.0000;0.0000;1.238918588e-04
283;25.0000;30.0000;0.0000;2.530469280e-04
284;25.0000;35.0000;0.0000;4.301832287e-04
285;25.0000;40.0000;0.0000;7.853190696e-05
286;25.0000;45.0000;0.0000;1.734262260e-04
287;25.0000;50.0000;0.0000;1.646190919e-04
288;25.0000;55.0000;0.0000;1.406351002e-04
289;25.0000;60.0000;0.0000;1.414137059e-04
290;25.0000;65.0000;0.0000;1.537288573e-04
291;25.0000;70.0000;0.0000;1.653782797e-04
292;25.0000;75.0000;0.0000;1.572807584e-04
293;25.0000;80.0000;0.0000;2.913343806e-04
294;25.0000;85.0000;0.0000;1.729980483e-04
295;25.0000;90.0000;0.0000;1.762392481e-04
